,,,,,,Distance.Time,
"159|""159""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""28556""|""4984""|""OK""",
"160|""160""|""641 W 63rd St", Chicago,IL 60637,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""30839""|""5138""|""OK""",
"161|""161""|""654 E 47th St", Chicago,IL 60653,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""28787""|""5869""|""OK""",
"162|""162""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""29828""|""5987""|""OK""",
"163|""163""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""33305""|""5972""|""OK""",
"164|""164""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""38384""|""6801""|""OK""",
"165|""165""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""37693""|""6713""|""OK""",
"166|""166""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""23396""|""5597""|""OK""",
"167|""167""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""39188""|""6559""|""OK""",
"168|""168""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""24185""|""5322""|""OK""",
"169|""169""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""20329""|""5233""|""OK""",
"170|""170""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""18793""|""5248""|""OK""",
"171|""171""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""17548""|""4534""|""OK""",
"172|""172""|""200 E 115th St", Chicago,IL 60628,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""41540""|""6819""|""OK""",
"173|""173""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""41746""|""6988""|""OK""",
"174|""174""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""7664""|""4236""|""OK""",
"175|""175""|""200 E 115th St", Chicago,IL 60628,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""41540""|""6851""|""OK""",
"176|""176""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""16652""|""4811""|""OK""",
