,,,,,,Distance.Time,
"3062|""3062""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""17985""|""2483""|""OK""",
"3063|""3063""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""17985""|""2483""|""OK""",
"3064|""3064""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""13458""|""3565""|""OK""",
"3065|""3065""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""10190""|""2618""|""OK""",
"3066|""3066""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""8108""|""1804""|""OK""",
"3067|""3067""|""641 W 63rd St", Chicago,IL 60637,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""8627""|""2333""|""OK""",
"3068|""3068""|""654 E 47th St", Chicago,IL 60653,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""12591""|""3274""|""OK""",
"3069|""3069""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""13026""|""3407""|""OK""",
"3070|""3070""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""6380""|""1710""|""OK""",
"3071|""3071""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""19812""|""4977""|""OK""",
"3072|""3072""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""10798""|""2578""|""OK""",
"3073|""3073""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""14400""|""3523""|""OK""",
"3074|""3074""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21124""|""4103""|""OK""",
"3075|""3075""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""11133""|""1476""|""OK""",
"3076|""3076""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""8171""|""1432""|""OK""",
"3077|""3077""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""11829""|""2483""|""OK""",
"3078|""3078""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""10255""|""2446""|""OK""",
"3079|""3079""|""200 E 115th St", Chicago,IL 60628,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21173""|""4200""|""OK""",
"3080|""3080""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""18637""|""4012""|""OK""",
"3081|""3081""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""27352""|""4170""|""OK""",
"3082|""3082""|""200 E 115th St", Chicago,IL 60628,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21173""|""4200""|""OK""",
"3083|""3083""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""14794""|""4564""|""OK""",
"3084|""3084""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""24753""|""4074""|""OK""",
"3085|""3085""|""29 E Madison St", Chicago,IL 60602,"USA""|""4019 W 55th St", Chicago,IL 60629,"USA""|""16446""|""1800""|""OK""",
"3086|""3086""|""641 W 63rd St", Chicago,IL 60637,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""8627""|""2333""|""OK""",
"3087|""3087""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""18289""|""2723""|""OK""",
"3088|""3088""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""12386""|""3219""|""OK""",
"3089|""3089""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""5635""|""1538""|""OK""",
"3090|""3090""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""18992""|""4762""|""OK""",
"3091|""3091""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""20693""|""4716""|""OK""",
"3092|""3092""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""22503""|""4419""|""OK""",
"3093|""3093""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""19969""|""4840""|""OK""",
"3094|""3094""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""14400""|""3523""|""OK""",
"3095|""3095""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21124""|""4103""|""OK""",
"3096|""3096""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""19188""|""3379""|""OK"""
"3097|""3097""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""19012""|""3250""|""OK""",
"3098|""3098""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""18822""|""2952""|""OK""",
"3099|""3099""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21228""|""3581""|""OK""",
"3100|""3100""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""19233""|""3412""|""OK""",
"3101|""3101""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""17093""|""2676""|""OK""",
"3102|""3102""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""18897""|""3144""|""OK""",
"3103|""3103""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""20736""|""3209""|""OK""",
"3104|""3104""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""11133""|""1476""|""OK""",
"3105|""3105""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""16210""|""3508""|""OK""",
"3106|""3106""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""13292""|""2840""|""OK""",
"3107|""3107""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21268""|""3294""|""OK""",
"3108|""3108""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""13322""|""2992""|""OK""",
"3109|""3109""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""21312""|""3633""|""OK""",
"3110|""3110""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""22944""|""4091""|""OK""",
"3111|""3111""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""5505 S Komensky Ave", Chicago,IL 60629,"USA""|""18320""|""3474""|""OK""",
"3112|""3112""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""14871""|""3764""|""OK""",
"3113|""3113""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""21331""|""3293""|""OK""",
"3114|""3114""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""21331""|""3293""|""OK""",
"3115|""3115""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""12034""|""3745""|""OK""",
"3116|""3116""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""14340""|""3998""|""OK""",
"3117|""3117""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""11061""|""2994""|""OK""",
"3118|""3118""|""641 W 63rd St", Chicago,IL 60637,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""8173""|""2399""|""OK""",
"3119|""3119""|""654 E 47th St", Chicago,IL 60653,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""15491""|""4364""|""OK""",
"3120|""3120""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""16994""|""4667""|""OK""",
"3121|""3121""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""6696""|""2246""|""OK""",
"3122|""3122""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18567""|""5157""|""OK""",
"3123|""3123""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""9351""|""2758""|""OK""",
"3124|""3124""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""20519""|""3595""|""OK""",
"3125|""3125""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18761""|""3759""|""OK""",
"3126|""3126""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""14479""|""2286""|""OK""",
"3127|""3127""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""11517""|""2242""|""OK""",
"3128|""3128""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""15175""|""3353""|""OK""",
"3129|""3129""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""13300""|""3156""|""OK""",
"3130|""3130""|""200 E 115th St", Chicago,IL 60628,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18720""|""4384""|""OK""",
"3131|""3131""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""16274""|""3668""|""OK""",
"3132|""3132""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""30698""|""4860""|""OK""",
"3133|""3133""|""200 E 115th St", Chicago,IL 60628,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18720""|""4384""|""OK""",
"3134|""3134""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""17631""|""4872""|""OK""",
"3135|""3135""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""25938""|""5016""|""OK""",
"3136|""3136""|""29 E Madison St", Chicago,IL 60602,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""19355""|""2187""|""OK""",
"3137|""3137""|""641 W 63rd St", Chicago,IL 60637,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""8173""|""2399""|""OK""",
"3138|""3138""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""21635""|""3533""|""OK""",
"3139|""3139""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""10937""|""3399""|""OK""",
"3140|""3140""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""6992""|""2303""|""OK""",
"3141|""3141""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""16101""|""4976""|""OK""",
"3142|""3142""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18263""|""4528""|""OK""",
"3143|""3143""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""25783""|""5281""|""OK""",
"3144|""3144""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18545""|""5020""|""OK""",
"3145|""3145""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""20519""|""3595""|""OK""",
"3146|""3146""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""18761""|""3759""|""OK""",
"3147|""3147""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""21761""|""3929""|""OK"""
"3148|""3148""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""21586""|""3796""|""OK""",
"3149|""3149""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""22168""|""3642""|""OK""",
"3150|""3150""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""24574""|""4271""|""OK""",
"3151|""3151""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""21228""|""3922""|""OK""",
"3152|""3152""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""20439""|""3486""|""OK""",
"3153|""3153""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""22224""|""4224""|""OK""",
"3154|""3154""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""24082""|""3899""|""OK""",
"3155|""3155""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""14479""|""2286""|""OK""",
"3156|""3156""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""19556""|""4378""|""OK""",
"3157|""3157""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""16638""|""3615""|""OK""",
"3158|""3158""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""24614""|""3984""|""OK""",
"3159|""3159""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""16367""|""3710""|""OK""",
"3160|""3160""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""24658""|""4323""|""OK""",
"3161|""3161""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""26290""|""4781""|""OK""",
"3162|""3162""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""4132 W 68th St", Chicago,IL 60629,"USA""|""15957""|""3130""|""OK""",
"3163|""3163""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""13363""|""4108""|""OK""",
"3164|""3164""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18525""|""3010""|""OK""",
"3165|""3165""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18525""|""3010""|""OK""",
"3166|""3166""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""9545""|""2521""|""OK""",
"3167|""3167""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""10181""|""2552""|""OK""",
"3168|""3168""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""8325""|""2295""|""OK""",
"3169|""3169""|""641 W 63rd St", Chicago,IL 60637,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""5363""|""1715""|""OK""",
"3170|""3170""|""654 E 47th St", Chicago,IL 60653,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""11543""|""3151""|""OK""",
"3171|""3171""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""12972""|""3922""|""OK""",
"3172|""3172""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""3886""|""1562""|""OK""",
"3173|""3173""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""16078""|""4315""|""OK""",
"3174|""3174""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""6862""|""2074""|""OK""",
"3175|""3175""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18539""|""3763""|""OK""",
"3176|""3176""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""14907""|""3579""|""OK""",
"3177|""3177""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""11673""|""2003""|""OK""",
"3178|""3178""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""8711""|""1959""|""OK""",
"3179|""3179""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""14823""|""3605""|""OK""",
"3180|""3180""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""11393""|""2678""|""OK""",
"3181|""3181""|""200 E 115th St", Chicago,IL 60628,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""17259""|""3996""|""OK""",
"3182|""3182""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""17465""|""4023""|""OK""",
"3183|""3183""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""27892""|""4637""|""OK""",
"3184|""3184""|""200 E 115th St", Chicago,IL 60628,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""17259""|""3996""|""OK""",
"3185|""3185""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""20853""|""5096""|""OK""",
"3186|""3186""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""22969""|""4523""|""OK""",
"3187|""3187""|""29 E Madison St", Chicago,IL 60602,"USA""|""2910 W Marquette Rd", Chicago,IL 60629,"USA""|""18447""|""2039""|""OK""",
"3188|""3188""|""641 W 63rd St", Chicago,IL 60637,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""5363""|""1715""|""OK""",
"3189|""3189""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18829""|""3250""|""OK""",
"3190|""3190""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""8539""|""2376""|""OK""",
"3191|""3191""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""4173""|""1330""|""OK""",
"3192|""3192""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""13612""|""3752""|""OK""",
"3193|""3193""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""14548""|""3762""|""OK""",
"3194|""3194""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""16585""|""3980""|""OK""",
"3195|""3195""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""16056""|""3796""|""OK""",
"3196|""3196""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18539""|""3763""|""OK""",
"3197|""3197""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""14907""|""3579""|""OK""",
"3198|""3198""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18955""|""3706""|""OK"""
"3199|""3199""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18780""|""3573""|""OK""",
"3200|""3200""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""19362""|""3419""|""OK""",
"3201|""3201""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""21768""|""4048""|""OK""",
"3202|""3202""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""18422""|""3699""|""OK""",
"3203|""3203""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""17633""|""3203""|""OK""",
"3204|""3204""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""19437""|""3761""|""OK""",
"3205|""3205""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""21276""|""3676""|""OK""",
"3206|""3206""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""11673""|""2003""|""OK""",
"3207|""3207""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""16750""|""4065""|""OK""",
"3208|""3208""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""13203""|""3296""|""OK""",
"3209|""3209""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""21808""|""3761""|""OK""",
"3210|""3210""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""13407""|""2969""|""OK""",
"3211|""3211""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""21852""|""4100""|""OK""",
"3212|""3212""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""23484""|""4558""|""OK""",
"3213|""3213""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""6655 S Francisco Ave", Chicago,IL 60629,"USA""|""11684""|""2691""|""OK""",
"3214|""3214""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""10460""|""3595""|""OK""",
"3215|""3215""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""16309""|""2182""|""OK""",
"3216|""3216""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""16309""|""2182""|""OK""",
"3217|""3217""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""6719""|""2107""|""OK""",
"3218|""3218""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""7164""|""1377""|""OK""",
"3219|""3219""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""5343""|""1765""|""OK""",
"3220|""3220""|""641 W 63rd St", Chicago,IL 60637,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""2555""|""875""|""OK""",
"3221|""3221""|""654 E 47th St", Chicago,IL 60653,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""8323""|""1742""|""OK""",
"3222|""3222""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""9928""|""2494""|""OK""",
"3223|""3223""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""1060""|""383""|""OK""",
"3224|""3224""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""13252""|""3768""|""OK""",
"3225|""3225""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""3933""|""961""|""OK""",
"3226|""3226""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""14856""|""2515""|""OK""",
"3227|""3227""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""8672""|""3025""|""OK""",
"3228|""3228""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""9219""|""2528""|""OK""",
"3229|""3229""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""8365""|""2348""|""OK""",
"3230|""3230""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""9846""|""2515""|""OK""",
"3231|""3231""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""10406""|""2972""|""OK""",
"3232|""3232""|""200 E 115th St", Chicago,IL 60628,"USA""|""1630 W 65th St", Chicago,IL 60636,"USA""|""15016""|""3922""|""OK""",
