"index"|"destination"|"origin"|"distance"|"duration"|"status"
"86"|"86"|"2222 N Halsted St, Chicago, IL 60614, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"39469"|"6440"|"OK"
"87"|"87"|"6946 N Olcott Ave, Chicago, IL 60631, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"55231"|"9046"|"OK"
"88"|"88"|"5382 N Milwaukee Ave, Chicago, IL 60630, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"49558"|"8336"|"OK"
"89"|"89"|"6244 N Leroy Ave, Chicago, IL 60646, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"54362"|"9534"|"OK"
"90"|"90"|"3786 W Bryn Mawr Ave, Chicago, IL 60659, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"49400"|"8765"|"OK"
"91"|"91"|"3719 W Lawrence Ave, Chicago, IL 60625, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"49122"|"8186"|"OK"
"92"|"92"|"5416 W Irving Park Rd, Chicago, IL 60641, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"48187"|"8177"|"OK"
"93"|"93"|"3801 W Irving Park Rd, Chicago, IL 60618, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"45416"|"7468"|"OK"
"94"|"94"|"3632 N Neva Ave, Chicago, IL 60634, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"51440"|"9235"|"OK"
"95"|"95"|"2700 N New England Ave, Chicago, IL 60707, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"49695"|"9411"|"OK"
"96"|"96"|"2542 N Luna Ave, Chicago, IL 60639, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"49436"|"8738"|"OK"
"97"|"97"|"4311 W Fullerton Ave, Chicago, IL 60639, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"44020"|"7997"|"OK"
"98"|"98"|"3137 N Christiana Ave, Chicago, IL 60618, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"42919"|"6991"|"OK"
"99"|"99"|"2844 W Lyndale St, Chicago, IL 60647, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"40580"|"6797"|"OK"
"100"|"100"|"1031 N Hamlin Ave, Chicago, IL 60651, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"42358"|"7854"|"OK"
"101"|"101"|"1941 W Thomas St, Chicago, IL 60622, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"39355"|"7115"|"OK"
"102"|"102"|"942 N LaSalle Dr, Chicago, IL 60610, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"36171"|"6284"|"OK"
"103"|"103"|"735 N Pine Ave, Chicago, IL 60644, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"45715"|"7798"|"OK"
"104"|"104"|"4157 W Wilcox St, Chicago, IL 60624, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"41613"|"7383"|"OK"
"105"|"105"|"155 S Kedzie Ave, Chicago, IL 60612, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"40391"|"6990"|"OK"
"106"|"106"|"1447 W Harrison St, Chicago, IL 60607, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"35408"|"6550"|"OK"
"107"|"107"|"1523 S Lawndale Ave, Chicago, IL 60623, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"37578"|"7830"|"OK"
"108"|"108"|"3530 W 30th St, Chicago, IL 60623, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"36204"|"6856"|"OK"
"109"|"109"|"2240 S Ashland Ave, Chicago, IL 60608, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"32642"|"6106"|"OK"
"110"|"110"|"243 S Wabash Ave, Chicago, IL 60604, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"32430"|"5294"|"OK"
"111"|"111"|"1821 S Prairie Ave, Chicago, IL 60616, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"30555"|"5739"|"OK"
"112"|"112"|"2825 S Princeton Ave, Chicago, IL 60616, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"28674"|"5716"|"OK"
"113"|"113"|"3200 S Calumet Ave, Chicago, IL 60616, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"28427"|"5882"|"OK"
"114"|"114"|"3936 S Lake Park Ave, Chicago, IL 60653, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"31499"|"6127"|"OK"
"115"|"115"|"231 W 47th St, Chicago, IL 60609, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"24813"|"4696"|"OK"
"116"|"116"|"347 E 45th St, Chicago, IL 60653, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"25592"|"5447"|"OK"
"117"|"117"|"4728 S Kimbark Ave, Chicago, IL 60615, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"24378"|"5354"|"OK"
"118"|"118"|"5626 S Calumet Ave, Chicago, IL 60637, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"23464"|"5061"|"OK"
"119"|"119"|"5534 S Dorchester Ave, Chicago, IL 60637, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"23365"|"4140"|"OK"
"120"|"120"|"6349 S Kimbark Ave, Chicago, IL 60637, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"21038"|"4862"|"OK"
"121"|"121"|"7330 S Merrill Ave, Chicago, IL 60649, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"20561"|"4593"|"OK"
"122"|"122"|"347 E 85th St, Chicago, IL 60619, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"17491"|"3783"|"OK"
"123"|"123"|"1559 E 83rd St, Chicago, IL 60619, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"16563"|"3603"|"OK"
"124"|"124"|"8473 S Commercial Ave, Chicago, IL 60617, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"21694"|"4946"|"OK"
"125"|"125"|"9101 S Clyde Ave, Chicago, IL 60617, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"16943"|"3827"|"OK"
"126"|"126"|"8 E 103rd Pl, Chicago, IL 60628, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"12632"|"2877"|"OK"
"127"|"127"|"E 104th St, Chicago, IL 60628, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"15190"|"3837"|"OK"
"128"|"128"|"41.6906385662062,-87.5698357426607"|"41.6600735833141,-87.6027606644691"|"ZERO_RESULTS"|"ZERO_RESULTS"|"ZERO_RESULTS"
"129"|"129"|"10347 S Ewing Ave, Chicago, IL 60617, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"16909"|"4021"|"OK"
"130"|"130"|"3147 S Brandon Ave, Chicago, IL 60633, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"27562"|"6269"|"OK"
"131"|"131"|"12119 S Parnell Ave, Chicago, IL 60628, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"11111"|"3057"|"OK"
"132"|"132"|"5633 W 53rd St, Chicago, IL 60638, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"48475"|"7899"|"OK"
