Neighborhood,Male Population,Male Under 15,Male 15 to 17,Male 18 to 24,Males 25-34,Males 35-49,Males 50+,Male_under_15%,Male_15-17%,Male_18-24%,Male_25-34%,Male_35-49%,Male_50+%,Female_Population,Female Under 15,Female 15-17,Female 18-24,Female 25-34,Female 35-49,Female 50+,Female_Under_15%,Female_15-17%,Female_18-24%,Female_25-34%,Female_35-49%,Female_50+%
Archer Heights,6773,1730,347,748,1164,1412,1372,0.255425956,0.051232836,0.110438506,0.171858851,0.208474827,0.202569024,6620,1577,343,701,1112,1224,1663,0.238217523,0.051812689,0.105891239,0.167975831,0.18489426,0.251208459
Brighton Park,23367,6657,1289,2740,3941,4782,3958,0.284888946,0.055163264,0.117259383,0.168656653,0.20464758,0.169384174,22001,6334,1168,2398,3602,4351,4148,0.287896005,0.053088496,0.108995046,0.163719831,0.197763738,0.188536885
McKinley Park,7827,1815,351,823,1385,1631,1822,0.231889613,0.044844768,0.105148844,0.176951578,0.208381244,0.232783953,7785,1759,362,786,1332,1596,1950,0.225947335,0.046499679,0.100963391,0.171098266,0.205009634,0.250481696
Bridgeport,15986,2850,610,1913,2864,3411,4338,0.178280996,0.038158389,0.119667209,0.179156762,0.213374202,0.271362442,15991,2773,554,1742,2642,3415,4865,0.173410043,0.034644488,0.108936277,0.165217935,0.213557626,0.304233631
New City,22391,6544,1346,2497,3457,4353,4194,0.292260283,0.060113438,0.111518021,0.15439239,0.194408468,0.1873074,21986,6126,1305,2452,3426,4237,4440,0.278631857,0.059355954,0.111525516,0.155826435,0.192713545,0.201946693
West Elsdon,9004,2372,426,1000,1493,1898,1815,0.263438472,0.047312306,0.11106175,0.165815193,0.210795202,0.201577077,9105,2277,444,939,1451,1795,2199,0.250082372,0.048764415,0.103130148,0.159362987,0.197144426,0.241515651
Gage Park,20477,6086,1126,2470,3420,4183,3192,0.297211506,0.054988524,0.120623138,0.167016653,0.20427797,0.155882209,19417,5817,1120,2294,3095,3854,3237,0.29958284,0.057681413,0.118143895,0.159396405,0.198485863,0.166709584
Clearing,11300,2446,471,976,1795,2521,3091,0.216460177,0.041681416,0.086371681,0.158849558,0.223097345,0.273539823,11839,2314,494,1009,1832,2365,3825,0.195455697,0.041726497,0.085226793,0.154742799,0.199763494,0.32308472
West Lawn,16723,4462,829,1861,2817,3473,3281,0.266818155,0.049572445,0.111283861,0.168450637,0.207678048,0.196196855,16632,4322,824,1722,2629,3280,3855,0.25986051,0.04954305,0.103535354,0.158068783,0.197210197,0.231782107
Chicago Lawn,26695,7439,1566,3157,4174,5185,5174,0.278666417,0.058662671,0.118261847,0.156358869,0.194231129,0.193819067,28933,7432,1609,3351,4233,5819,6489,0.256869319,0.05561124,0.115819307,0.146303529,0.201119829,0.224276777
West Englewood,16468,4280,1109,2071,1912,2880,4216,0.259897984,0.067342725,0.125759048,0.116103959,0.174884625,0.256011659,19037,4096,1095,2038,2388,3475,5945,0.215159952,0.057519567,0.107054683,0.125439933,0.182539266,0.3122866
Englewood,13780,3778,937,1726,1601,2197,3541,0.274165457,0.067997097,0.125253991,0.116182874,0.159433962,0.256966618,16874,3684,969,1972,2201,3138,4910,0.218324049,0.057425625,0.116866185,0.130437359,0.185966576,0.290980206
Greater Grand Crossing,14333,3689,884,1437,1589,2593,4141,0.257378079,0.061675853,0.100258146,0.110863043,0.180911184,0.288913696,18269,3660,886,1826,2374,3348,6175,0.200339373,0.048497455,0.099950736,0.129946905,0.183261262,0.33800427
Ashburn,19690,4832,1068,2052,2509,4153,5076,0.245403758,0.054240731,0.104215338,0.127425089,0.210919248,0.257795835,21391,4755,1036,1950,2681,4715,6254,0.222289748,0.048431583,0.091159834,0.125333084,0.220419803,0.292365948
Auburn Gresham,21423,5002,1268,2221,2366,3958,6608,0.233487373,0.059188722,0.103673622,0.110442048,0.184754703,0.308453531,27320,5064,1347,2586,3128,5201,9994,0.185358712,0.049304539,0.09465593,0.114494876,0.190373353,0.365812592
Beverly,9558,2110,522,680,976,1986,3284,0.220757481,0.054613936,0.071144591,0.102113413,0.207784055,0.343586524,10476,2047,465,661,1019,2283,4001,0.195399007,0.044387171,0.063096602,0.09726995,0.21792669,0.38192058
Washington Heights,11680,2439,688,1147,1129,2298,3979,0.208818493,0.05890411,0.098202055,0.096660959,0.196746575,0.340667808,14813,2392,689,1199,1436,2874,6223,0.161479781,0.046513198,0.080942415,0.096941875,0.194018767,0.420103963
Mount Greenwood,9396,1927,372,1015,1275,2130,2677,0.205087271,0.039591315,0.108024691,0.135696041,0.226692209,0.284908472,9697,1862,367,1211,1152,2040,3065,0.19201815,0.037846757,0.124883985,0.118799629,0.210374343,0.316077137
Morgan Park,10208,2111,606,973,1097,1988,3433,0.206798589,0.059365204,0.095317398,0.107464734,0.194749216,0.336304859,12336,2133,641,976,1226,2484,4876,0.17290856,0.051961738,0.079118029,0.099383917,0.201361868,0.395265888
O'Hare,6421,985,130,451,1530,1543,1782,0.153402897,0.020246068,0.070238281,0.238280642,0.240305248,0.277526865,6335,903,111,477,1416,1207,2221,0.142541436,0.017521705,0.075295975,0.223520126,0.190528808,0.350591949
Edgewater,29034,3004,483,3114,6554,8034,7845,0.103464903,0.016635669,0.107253565,0.225735345,0.276710064,0.270200455,27487,2924,447,3812,6006,5619,8679,0.10637756,0.016262233,0.138683741,0.218503292,0.204423909,0.315749263
